Company Name,Sector,Market Price,52 Weeks High - Low,EPS,P/E Ratio,Book Value,PBV,% Dividend,% Bonus,Right Share,G.N,price above GN
Prime Life Insurance Company Limited (PLIC),Life Insurance,751.00,"1,133.00-570.00",0.00,0.00,117.69,6.38,"0.79
                                
                                    (FY:076-077)","15.00
                                
                                    (FY:076-077)",,0.0,0
Panchakanya Mai Hydropower Ltd (PMHPL),Hydro Power,355.50,484.00-133.00,13.9,25.50,88.95,4.00,,,,166.79062473652408,113.14147636390021
Panchthar Power Company Limited (PPCL),Hydro Power,514.00,642.00-230.00,30.7,16.74,110.67,4.64,,,,276.4874364234296,85.90356460639654
Prabhu Insurance Ltd. (PRIN),Non-Life Insurance,833.00,"1,162.00-653.90",15.6,53.26,127.74,6.52,"0.58
                                
                                    (FY:077-078)","11.00
                                
                                    (FY:077-078)",,211.74687719066839,293.39423138218075
Progressive Finance Limited (PROFL),Finance,370.00,574.00-152.00,5.65,65.49,112.80,3.28,,,"1:2.81
                                
                                    (FY:074-075)",119.74848642049719,208.98094085360194
Prabhu Bank Limited (PRVU),Commercial Banks,310.00,525.00-285.00,19.8,15.61,143.54,2.16,,,"10:4
                                
                                    (FY:072-073)",252.87757907730767,22.588962268271846
Prabhu Select Fund (PSF),Mutual Fund,9.14,11.22-8.75,0.00,0.00,0.00,9.14,,,,0.0,0
Radhi Bidyut Company Ltd (RADHI),Hydro Power,677.00,"1,340.00-314.00",9.90,68.38,115.93,5.84,"5.00
                                
                                    (FY:074-075)","36.50
                                
                                    (FY:076-077)",,160.69663188754143,321.2907215589792
Rastriya Beema Company Limited (RBCL),Non-Life Insurance,"17,959.50","24,370.00-13,907.00",145.,123.22,"1,317.25",13.63,"6.00
                                
                                    (FY:062-063)","114.27
                                
                                    (FY:062-063)",,2073.048027663614,766.3330400618303
Rastriya Beema Company Limited Promoter Share (RBCLPO),Promotor Share,"16,051.00","20,185.00-11,310.00",0.00,0.00,0.00,"16,051.00",,,,0.0,0
RASUWAGADHI HYDROPOWER COMPANY LIMITED (RHPL),Hydro Power,406.00,613.00-301.00,-0.4,-990.24,96.04,4.23,,,,0,0
Reliance Finance Ltd. (RLFL),Finance,464.00,814.00-210.00,4.71,98.51,135.55,3.42,,"15.00
                                
                                    (FY:077-078)","10:4.5
                                
                                    (FY:072-073)",119.85370770234854,287.13862832873207
